pop_density,road_density,green_cover,distance_water,elevation,flood_risk,area_km2,north,south,east,west,label
1467.775224905741,0.00025543426715677665,2,5.0,39.090909090909705,0.6090909090909029,1.051250882163575,13.046336363636366,13.037245454545456,80.23433636363637,80.22524545454546,0
1084.422395588169,0.00022720901675991125,9,5.0,39.090909090909705,0.6090909090909029,1.051250882163575,13.046336363636366,13.037245454545456,80.24342727272729,80.23433636363637,2
840.902980438545,0.0002215113989504304,1,0.41228349545948284,39.090909090909705,0.6090909090909029,1.051250882163575,13.046336363636366,13.037245454545456,80.25251818181819,80.24342727272727,0
913.1978068110897,0.00021360096386088197,2,5.0,39.090909090909705,0.6090909090909029,1.051250882163575,13.046336363636366,13.037245454545456,80.2616090909091,80.25251818181819,0
759.0956769117182,0.0002490398142322151,3,0.6141490620490019,39.090909090909705,0.6090909090909029,1.051250882163575,13.046336363636366,13.037245454545456,80.2707,80.26160909090909,0
1009.2738260674821,0.00022253327426963897,2,0.3345372524979833,39.090909090909705,0.6090909090909029,1.05125088216551,13.046336363636366,13.037245454545456,80.27979090909092,80.2707,0
15.219963446851494,2.5658470917163014e-06,2,5.0,39.090909090909705,0.6090909090909029,1.051250882163575,13.046336363636366,13.037245454545456,80.28888181818184,80.27979090909092,0
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.051250882163575,13.046336363636366,13.037245454545456,80.29797272727274,80.28888181818182,0
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.05125088216551,13.046336363636366,13.037245454545456,80.30706363636365,80.29797272727274,0
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.05125088216551,13.046336363636366,13.037245454545456,80.31615454545455,80.30706363636364,0
1289.8444785911934,0.00029642126291148897,3,5.0,39.090909090909705,0.6090909090909029,1.0512895333560397,13.055427272727274,13.046336363636364,80.23433636363637,80.22524545454546,0
1227.0644375978168,0.00027779124130246276,5,0.5725804537438973,39.090909090909705,0.6090909090909029,1.0512895333560397,13.055427272727274,13.046336363636364,80.24342727272729,80.23433636363637,1
774.2871722516455,0.0002364966564479476,2,0.2951922949558344,39.090909090909705,0.6090909090909029,1.0512895333560397,13.055427272727274,13.046336363636364,80.25251818181819,80.24342727272727,0
802.8235545213622,0.00022379804491751384,3,0.2902813084691147,39.090909090909705,0.6090909090909029,1.0512895333560397,13.055427272727274,13.046336363636364,80.2616090909091,80.25251818181819,0
1019.7000597712089,0.0002921733392741278,0,5.0,39.090909090909705,0.6090909090909029,1.0512895333560397,13.055427272727274,13.046336363636364,80.2707,80.26160909090909,0
1029.2121871925533,0.0003926119803914287,2,5.0,39.090909090909705,0.6090909090909029,1.0512895333579748,13.055427272727274,13.046336363636364,80.27979090909092,80.2707,0
60.87761550872889,3.543003049742749e-05,11,5.0,39.090909090909705,0.6090909090909029,1.0512895333560397,13.055427272727274,13.046336363636364,80.28888181818184,80.27979090909092,2
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.0512895333560397,13.055427272727274,13.046336363636364,80.29797272727274,80.28888181818182,0
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.0512895333579748,13.055427272727274,13.046336363636364,80.30706363636365,80.29797272727274,0
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.0512895333579748,13.055427272727274,13.046336363636364,80.31615454545455,80.30706363636364,0
1010.1507654797309,0.00028510621444694445,1,5.0,39.090909090909705,0.6090909090909029,1.051328213858894,13.064518181818183,13.055427272727274,80.23433636363637,80.22524545454546,0
686.7503320869733,0.0002566793001122568,2,0.3282973143866713,39.090909090909705,0.6090909090909029,1.051328213858894,13.064518181818183,13.055427272727274,80.24342727272729,80.23433636363637,0
679.1409101247908,0.00020259706984936753,2,5.0,39.090909090909705,0.6090909090909029,1.051328213858894,13.064518181818183,13.055427272727274,80.25251818181819,80.24342727272727,0
469.88180616477126,7.943944897125439e-05,2,2.1064633292458015,39.090909090909705,0.6090909090909029,1.051328213858894,13.064518181818183,13.055427272727274,80.2616090909091,80.25251818181819,0
603.9978682482383,0.00022202613438956572,0,5.0,39.090909090909705,0.6090909090909029,1.051328213858894,13.064518181818183,13.055427272727274,80.2707,80.26160909090909,0
623.021423152548,0.0003768412621250914,0,0.3487366219522582,39.090909090909705,0.6090909090909029,1.051328213860829,13.064518181818183,13.055427272727274,80.27979090909092,80.2707,0
51.36359824473208,4.418488852055104e-05,5,0.49390344923275914,39.090909090909705,0.6090909090909029,1.051328213858894,13.064518181818183,13.055427272727274,80.28888181818184,80.27979090909092,1
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.051328213858894,13.064518181818183,13.055427272727274,80.29797272727274,80.28888181818182,0
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.051328213860829,13.064518181818183,13.055427272727274,80.30706363636365,80.29797272727274,0
0.0,0.0,0,5.0,39.090909090909705,0.6090909090909029,1.051328213860829,13.064518181818183,13.055427272727274,80.31615454545455,80.30706363636364,0
854.1261663999327,0.00025737932284713484,4,0.2780461554288995,39.090909090909705,0.6090909090909029,1.051366923677086,13.073609090909093,13.064518181818183,80.23433636363637,80.22524545454546,1
572.5879200142087,0.00013918460940034628,2,0.49793022694275885,39.090909090909705,0.6090909090909029,1.051366923677086,13.073609090909093,13.064518181818183,80.24342727272729,80.23433636363637,0
584.952775429798,9.998902107575519e-05,3,0.7181491452306281,39.090909090909705,0.6090909090909029,1.051366923677086,13.073609090909093,13.064518181818183,80.25251818181819,80.24342727272727,0
